03:00:11.919290,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,203.104.175.37,80,www.webtoons.com
03:00:12.912924,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,104.90.236.53,80,assets.adobedtm.com
03:00:13.189665,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.197169,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.204879,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.211286,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.219827,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.226287,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.235364,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.252864,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.253120,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.253462,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,203.104.175.37,80,www.webtoons.com
03:00:13.262036,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.276282,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.8,80,webtoons.static.naver.net
03:00:13.276282,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.297513,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.301505,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.323759,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.323948,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.389405,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.413547,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.475230,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.478127,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
03:00:13.488036,RMUn6owxz3Npjow@ku.ac.th,158.108.230.26,23.209.180.9,80,webtoon.phinf.naver.net
